Name,ProfileSprite,StandingSprite,Grade,Description,ID
남평범,Sprite/character_profile_0,Sprite/character_0,star1,평범한 대학생.,0
여흔해,Sprite/character_profile_0,Sprite/character_0,star1,평범한 대학생.,1
나새내,Sprite/character_profile_0,Sprite/character_0,star2,막 대학교에 입학해 들뜨는 새내기.,1000
정복학,Sprite/character_profile_0,Sprite/character_0,star2,군 생활을 마치고 복학한 3학년.,1001
현취준,Sprite/character_profile_0,Sprite/character_0,star2,막 대학을 졸업한 취준생.,1002
박수영,Sprite/character_profile_0,Sprite/character_0,star3,매일 아침 수영을 나가고 있어 아주머니들에게 인기이다.,2000
장예슬,Sprite/character_profile_0,Sprite/character_0,star3,유명한 예술가가 되기를 꿈꾸고 있지만 좀처럼 돈이 모이지 않아 아르바이트하고 있다.,2001
강성인,Sprite/character_profile_0,Sprite/character_0,star3,어떤 진상 고객이 와도 흔들리지 않는 인자함의 소유자.,2002
한주부,Sprite/character_profile_0,Sprite/character_0,star3,자식들이 전부 독립하여 생긴 외로움을 아르바이트로 메꾸고 있다.,2003
전히키,Sprite/character_profile_0,Sprite/character_0,star3,집에서 몇 년 동안 나오지 않으며 게임만 하다가 최근 새 인생을 살기로 결심하였다.,2004
오수생,Sprite/character_profile_0,Sprite/character_0,star4,공무원 시험 준비와 아르바이트를 병행하고 있다. 시험을떨어질 때마다 아르바이트 능력은 좋아진다.,3000
최덕후,Sprite/character_profile_0,Sprite/character_0,star4,애니메이션을 매우 좋아한다. 현지인 수준의 일본어를 구사해 일본인 손님도 걱정 없다.,3001
연두부,Sprite/character_profile_0,Sprite/character_0,star4,험악하게 생긴 인상으로 얼마 전 출소했다는 소문이 있다. 그러나 손님 앞에서는 누구보다도 친절하다.,3002
한스타,Sprite/character_profile_0,Sprite/character_0,star4,자칭 아이돌 연습생. 매일매일 출근하고 있는데 언제 연습하는 걸까?,3003
연서복,Sprite/character_profile_0,Sprite/character_0,star4,소개팅에 나간다며 알바를 빼는 일이 잦지만 이루어졌다는 말은 한 번도 들은 적이 없다.,3004
문아라,Sprite/character_profile_0,Sprite/character_0,star5,짬이 생기면 항상 무언가 끄적이고 있다. 사실 잘나가는 작가인데 취미로 아르바이트하고 있다는 소문이 있다.,4000
조진상,Sprite/character_profile_0,Sprite/character_0,star5,진상 손님 상대를 잘하기로 유명하다. 어떤 방법을 쓰는지는 알 수 없으나 그와 대화하고 나면 손님은 조용히 돌아갔다.,4001
윤하라,Sprite/character_profile_0,Sprite/character_0,star5,나이만큼 많은 경험을 가지고 있는 베테랑이다. 동료들이 곤혹에 처하면 지혜를 배풀어준다.,4002
임이슬,Sprite/character_profile_0,Sprite/character_0,star5,엄청난 주량의 소유자. 가끔 꽐라가 되어 나타나지만 그럴 때면 일의 능률이 상승하는 신기한 사람.,4003
차과로,Sprite/character_profile_0,Sprite/character_0,star5,주간에는 회사에서 일하고 주말에는 이곳에서 일하고 있다. 가끔은 너무 피곤해 보인다.,4004
권열정,Sprite/character_profile_0,Sprite/character_0,star6,소년 만화의 주인공같이 항상 열정으로 빛나는 사람. 경력은 얼마 되지 않지만 남들보다 빠른 성장을 하고 있다.,5000
손천하,Sprite/character_profile_0,Sprite/character_0,star6,천하제일인을 꿈꾸는 무술의 달인. 한국의 무림인들을 제패하고 중국에 진출하기 위해 비행기 삯을 벌고 있다.,5001
류학,Sprite/character_profile_0,Sprite/character_0,star6,최고의 바리스타가 되기 위해 커피의 본고장 이탈리아로 유학을 다녀왔다. 아메리카노는 안 좋아하는 듯하다.,5002
백모델,Sprite/character_profile_0,Sprite/character_0,star6,아름다운 외모로 사람들을 가게에 끌어들인다. 일을 쉬는 날에는 잡지 모델로 활동하는 듯하다.,5003
유려언,Sprite/character_profile_0,Sprite/character_0,star6,무언가 어설프지만 제조한 음료는 천상의 맛이다. 가끔 허공과 대화하는 것이 목격된다는 소문이 있다.,5004
